station_id,datetime_utc,o3_value,units
5610,2022-07-14T02:30:00Z,0.0139,ppm
5610,2022-07-14T03:30:00Z,0.0077,ppm
5610,2022-07-14T04:30:00Z,0.0076,ppm
5610,2022-07-14T05:30:00Z,0.0148,ppm
5610,2022-07-14T06:30:00Z,0.0133,ppm
5610,2022-07-14T07:30:00Z,0.0132,ppm
5610,2022-07-14T08:30:00Z,0.0136,ppm
5610,2022-07-14T09:30:00Z,0.00776,ppm
5610,2022-07-14T10:30:00Z,0.0135,ppm
5610,2022-07-14T11:30:00Z,0.0134,ppm
5610,2022-07-14T12:30:00Z,0.0139,ppm
5610,2022-07-14T13:30:00Z,0.013,ppm
5610,2022-07-14T14:30:00Z,0.0133,ppm
5610,2022-07-14T15:30:00Z,0.0101,ppm
5610,2022-07-14T16:30:00Z,0.00773,ppm
5610,2022-07-14T17:30:00Z,0.00765,ppm
5610,2022-07-14T18:30:00Z,0.00999,ppm
5610,2022-07-14T21:30:00Z,0.00757,ppm
5610,2022-07-14T22:30:00Z,0.00776,ppm
5610,2022-07-14T23:30:00Z,0.0133,ppm
5610,2022-07-15T00:30:00Z,0.00778,ppm
5610,2022-07-15T01:30:00Z,0.00787,ppm
5610,2022-07-15T02:30:00Z,0.0076,ppm
5610,2022-07-15T03:30:00Z,0.00772,ppm
5610,2022-07-15T04:30:00Z,0.00771,ppm
5610,2022-07-15T05:30:00Z,0.00791,ppm
5610,2022-07-15T06:30:00Z,0.0137,ppm
5610,2022-07-15T07:30:00Z,0.0132,ppm
5610,2022-07-15T08:30:00Z,0.00771,ppm
5610,2022-07-15T09:30:00Z,0.00768,ppm
5610,2022-07-15T10:30:00Z,0.00744,ppm
5610,2022-07-15T11:30:00Z,0.00787,ppm
5610,2022-07-15T12:30:00Z,0.00768,ppm
5610,2022-07-15T13:30:00Z,0.00763,ppm
5610,2022-07-15T14:30:00Z,0.0142,ppm
5610,2022-07-15T15:30:00Z,0.0135,ppm
5610,2022-07-15T16:30:00Z,0.0137,ppm
5610,2022-07-15T17:30:00Z,0.0139,ppm
5610,2022-07-15T18:30:00Z,0.013,ppm
5610,2022-07-15T19:30:00Z,0.0135,ppm
5610,2022-07-15T20:30:00Z,0.0135,ppm
5610,2022-07-15T21:30:00Z,0.0139,ppm
5610,2022-07-15T22:30:00Z,0.0137,ppm
5610,2022-07-15T23:30:00Z,0.0136,ppm
5610,2022-07-16T00:30:00Z,0.0132,ppm
5610,2022-07-16T01:30:00Z,0.0143,ppm
5610,2022-07-16T02:30:00Z,0.0136,ppm
5610,2022-07-16T03:30:00Z,0.0149,ppm
5610,2022-07-16T04:30:00Z,0.0177,ppm
5610,2022-07-16T05:30:00Z,0.0176,ppm
5610,2022-07-16T06:30:00Z,0.00573,ppm
5610,2022-07-16T07:30:00Z,0.0086,ppm
5610,2022-07-16T08:30:00Z,0.00753,ppm
5610,2022-07-16T09:30:00Z,0.0074,ppm
5610,2022-07-16T10:30:00Z,0.0133,ppm
5610,2022-07-16T11:30:00Z,0.0135,ppm
5610,2022-07-16T12:30:00Z,0.0128,ppm
5610,2022-07-16T13:30:00Z,0.0116,ppm
5610,2022-07-16T14:30:00Z,0.016,ppm
5610,2022-07-16T15:30:00Z,0.00894,ppm
5610,2022-07-16T16:30:00Z,0.00748,ppm
5610,2022-07-16T17:30:00Z,0.0107,ppm
5610,2022-07-16T18:30:00Z,0.00273,ppm
5610,2022-07-16T19:30:00Z,0.00791,ppm
5610,2022-07-16T20:30:00Z,0.00797,ppm
5610,2022-07-16T21:30:00Z,0.00728,ppm
5610,2022-07-16T22:30:00Z,0.00763,ppm
5610,2022-07-16T23:30:00Z,0.00769,ppm
5610,2022-07-17T00:30:00Z,0.00844,ppm
5610,2022-07-17T01:30:00Z,0.00839,ppm
5610,2022-07-17T02:30:00Z,0.0135,ppm
5610,2022-07-17T03:30:00Z,0.015,ppm
5610,2022-07-17T04:30:00Z,0.00934,ppm
5610,2022-07-17T05:30:00Z,0.00594,ppm
5610,2022-07-17T06:30:00Z,0.00992,ppm
5610,2022-07-17T07:30:00Z,0.0121,ppm
5610,2022-07-17T08:30:00Z,0.00965,ppm
5610,2022-07-17T09:30:00Z,0.00621,ppm
5610,2022-07-17T10:30:00Z,0.0122,ppm
5610,2022-07-17T11:30:00Z,0.00817,ppm
5610,2022-07-17T12:30:00Z,0.00732,ppm
5610,2022-07-17T13:30:00Z,0.00752,ppm
5610,2022-07-17T14:30:00Z,0.00682,ppm
5610,2022-07-17T15:30:00Z,0.0133,ppm
5610,2022-07-17T16:30:00Z,0.00661,ppm
5610,2022-07-17T17:30:00Z,0.00879,ppm
5610,2022-07-17T18:30:00Z,0.00749,ppm
5610,2022-07-17T19:30:00Z,0.00739,ppm
5610,2022-07-17T20:30:00Z,0.00749,ppm
